device=cuda variant=param_matched split_protocol=per_modulation_snr_800_train_200_test epochs=100 learning_rate=0.001
epoch=001 train_loss=2.11128 train_acc=0.2091
epoch=002 train_loss=1.74780 train_acc=0.3383
epoch=003 train_loss=1.56509 train_acc=0.4057
epoch=004 train_loss=1.48677 train_acc=0.4323
epoch=005 train_loss=1.43759 train_acc=0.4477
epoch=006 train_loss=1.40374 train_acc=0.4604
epoch=007 train_loss=1.37510 train_acc=0.4700
epoch=008 train_loss=1.36311 train_acc=0.4741
epoch=009 train_loss=1.34191 train_acc=0.4808
epoch=010 train_loss=1.33300 train_acc=0.4845
epoch=011 train_loss=1.32413 train_acc=0.4877
epoch=012 train_loss=1.32190 train_acc=0.4884
epoch=013 train_loss=1.30737 train_acc=0.4952
epoch=014 train_loss=1.30073 train_acc=0.4962
epoch=015 train_loss=1.29481 train_acc=0.4984
epoch=016 train_loss=1.28881 train_acc=0.5005
epoch=017 train_loss=1.28481 train_acc=0.5026
epoch=018 train_loss=1.27796 train_acc=0.5058
epoch=019 train_loss=1.27267 train_acc=0.5066
epoch=020 train_loss=1.26751 train_acc=0.5103
epoch=021 train_loss=1.26331 train_acc=0.5114
epoch=022 train_loss=1.25808 train_acc=0.5131
epoch=023 train_loss=1.25625 train_acc=0.5151
epoch=024 train_loss=1.24881 train_acc=0.5171
epoch=025 train_loss=1.24602 train_acc=0.5188
epoch=026 train_loss=1.24432 train_acc=0.5197
epoch=027 train_loss=1.23801 train_acc=0.5223
epoch=028 train_loss=1.23522 train_acc=0.5225
epoch=029 train_loss=1.23093 train_acc=0.5251
epoch=030 train_loss=1.22517 train_acc=0.5268
epoch=031 train_loss=1.22347 train_acc=0.5276
epoch=032 train_loss=1.21903 train_acc=0.5276
epoch=033 train_loss=1.21571 train_acc=0.5304
epoch=034 train_loss=1.21172 train_acc=0.5310
epoch=035 train_loss=1.20866 train_acc=0.5332
epoch=036 train_loss=1.20386 train_acc=0.5345
epoch=037 train_loss=1.20064 train_acc=0.5357
epoch=038 train_loss=1.19567 train_acc=0.5390
epoch=039 train_loss=1.19264 train_acc=0.5396
epoch=040 train_loss=1.18986 train_acc=0.5397
epoch=041 train_loss=1.18405 train_acc=0.5427
epoch=042 train_loss=1.17844 train_acc=0.5447
epoch=043 train_loss=1.18032 train_acc=0.5451
epoch=044 train_loss=1.17375 train_acc=0.5477
epoch=045 train_loss=1.17082 train_acc=0.5488
epoch=046 train_loss=1.16381 train_acc=0.5496
epoch=047 train_loss=1.16116 train_acc=0.5507
epoch=048 train_loss=1.15552 train_acc=0.5537
epoch=049 train_loss=1.15252 train_acc=0.5550
epoch=050 train_loss=1.15148 train_acc=0.5545
epoch=051 train_loss=1.14833 train_acc=0.5544
epoch=052 train_loss=1.14516 train_acc=0.5582
epoch=053 train_loss=1.14010 train_acc=0.5584
epoch=054 train_loss=1.13978 train_acc=0.5583
epoch=055 train_loss=1.13636 train_acc=0.5609
epoch=056 train_loss=1.13146 train_acc=0.5610
epoch=057 train_loss=1.13233 train_acc=0.5616
epoch=058 train_loss=1.12438 train_acc=0.5641
epoch=059 train_loss=1.12078 train_acc=0.5665
epoch=060 train_loss=1.11889 train_acc=0.5680
epoch=061 train_loss=1.11458 train_acc=0.5696
epoch=062 train_loss=1.11170 train_acc=0.5698
epoch=063 train_loss=1.11122 train_acc=0.5704
epoch=064 train_loss=1.10385 train_acc=0.5734
epoch=065 train_loss=1.10291 train_acc=0.5738
epoch=066 train_loss=1.09602 train_acc=0.5772
epoch=067 train_loss=1.09353 train_acc=0.5776
epoch=068 train_loss=1.09082 train_acc=0.5780
epoch=069 train_loss=1.08990 train_acc=0.5790
epoch=070 train_loss=1.08571 train_acc=0.5817
epoch=071 train_loss=1.08280 train_acc=0.5822
epoch=072 train_loss=1.08024 train_acc=0.5829
epoch=073 train_loss=1.07535 train_acc=0.5847
epoch=074 train_loss=1.07631 train_acc=0.5862
epoch=075 train_loss=1.07095 train_acc=0.5862
epoch=076 train_loss=1.06837 train_acc=0.5874
epoch=077 train_loss=1.06448 train_acc=0.5895
epoch=078 train_loss=1.06136 train_acc=0.5909
epoch=079 train_loss=1.05977 train_acc=0.5916
epoch=080 train_loss=1.05735 train_acc=0.5923
epoch=081 train_loss=1.05300 train_acc=0.5948
epoch=082 train_loss=1.05193 train_acc=0.5944
epoch=083 train_loss=1.04897 train_acc=0.5950
epoch=084 train_loss=1.04747 train_acc=0.5953
epoch=085 train_loss=1.04379 train_acc=0.5992
epoch=086 train_loss=1.04287 train_acc=0.5969
epoch=087 train_loss=1.04069 train_acc=0.5987
epoch=088 train_loss=1.03667 train_acc=0.6010
epoch=089 train_loss=1.03399 train_acc=0.6009
epoch=090 train_loss=1.03075 train_acc=0.6028
epoch=091 train_loss=1.02932 train_acc=0.6035
epoch=092 train_loss=1.02467 train_acc=0.6047
epoch=093 train_loss=1.02553 train_acc=0.6033
epoch=094 train_loss=1.02288 train_acc=0.6055
epoch=095 train_loss=1.01508 train_acc=0.6088
epoch=096 train_loss=1.01810 train_acc=0.6074
epoch=097 train_loss=1.01470 train_acc=0.6087
epoch=098 train_loss=1.01186 train_acc=0.6098
epoch=099 train_loss=1.00793 train_acc=0.6120
epoch=100 train_loss=1.00796 train_acc=0.6116
