device=cuda variant=same_width split_protocol=per_modulation_snr_800_train_200_test epochs=100 learning_rate=0.001
epoch=001 train_loss=2.07637 train_acc=0.2186
epoch=002 train_loss=1.65905 train_acc=0.3711
epoch=003 train_loss=1.48596 train_acc=0.4311
epoch=004 train_loss=1.41851 train_acc=0.4541
epoch=005 train_loss=1.37973 train_acc=0.4663
epoch=006 train_loss=1.35258 train_acc=0.4774
epoch=007 train_loss=1.33652 train_acc=0.4831
epoch=008 train_loss=1.32297 train_acc=0.4887
epoch=009 train_loss=1.30850 train_acc=0.4936
epoch=010 train_loss=1.29988 train_acc=0.4968
epoch=011 train_loss=1.29339 train_acc=0.4999
epoch=012 train_loss=1.28101 train_acc=0.5032
epoch=013 train_loss=1.27615 train_acc=0.5069
epoch=014 train_loss=1.26862 train_acc=0.5085
epoch=015 train_loss=1.26166 train_acc=0.5117
epoch=016 train_loss=1.25518 train_acc=0.5139
epoch=017 train_loss=1.24836 train_acc=0.5183
epoch=018 train_loss=1.23939 train_acc=0.5214
epoch=019 train_loss=1.23497 train_acc=0.5235
epoch=020 train_loss=1.22792 train_acc=0.5274
epoch=021 train_loss=1.22087 train_acc=0.5289
epoch=022 train_loss=1.21223 train_acc=0.5333
epoch=023 train_loss=1.20895 train_acc=0.5360
epoch=024 train_loss=1.20282 train_acc=0.5377
epoch=025 train_loss=1.20095 train_acc=0.5389
epoch=026 train_loss=1.19259 train_acc=0.5409
epoch=027 train_loss=1.18254 train_acc=0.5447
epoch=028 train_loss=1.18235 train_acc=0.5458
epoch=029 train_loss=1.17448 train_acc=0.5484
epoch=030 train_loss=1.16866 train_acc=0.5518
epoch=031 train_loss=1.16182 train_acc=0.5528
epoch=032 train_loss=1.15728 train_acc=0.5548
epoch=033 train_loss=1.14809 train_acc=0.5578
epoch=034 train_loss=1.14523 train_acc=0.5596
epoch=035 train_loss=1.13792 train_acc=0.5627
epoch=036 train_loss=1.13565 train_acc=0.5639
epoch=037 train_loss=1.12627 train_acc=0.5669
epoch=038 train_loss=1.12289 train_acc=0.5689
epoch=039 train_loss=1.10920 train_acc=0.5736
epoch=040 train_loss=1.10743 train_acc=0.5744
epoch=041 train_loss=1.10191 train_acc=0.5771
epoch=042 train_loss=1.09487 train_acc=0.5799
epoch=043 train_loss=1.09303 train_acc=0.5801
epoch=044 train_loss=1.08212 train_acc=0.5843
epoch=045 train_loss=1.07933 train_acc=0.5844
epoch=046 train_loss=1.07282 train_acc=0.5885
epoch=047 train_loss=1.06709 train_acc=0.5899
epoch=048 train_loss=1.05916 train_acc=0.5936
epoch=049 train_loss=1.05941 train_acc=0.5939
epoch=050 train_loss=1.04989 train_acc=0.5960
epoch=051 train_loss=1.04455 train_acc=0.5991
epoch=052 train_loss=1.03890 train_acc=0.6012
epoch=053 train_loss=1.03458 train_acc=0.6017
epoch=054 train_loss=1.02661 train_acc=0.6048
epoch=055 train_loss=1.02803 train_acc=0.6041
epoch=056 train_loss=1.01878 train_acc=0.6086
epoch=057 train_loss=1.01312 train_acc=0.6099
epoch=058 train_loss=1.00745 train_acc=0.6137
epoch=059 train_loss=1.00104 train_acc=0.6143
epoch=060 train_loss=0.99906 train_acc=0.6170
epoch=061 train_loss=0.99403 train_acc=0.6166
epoch=062 train_loss=0.98779 train_acc=0.6201
epoch=063 train_loss=0.98232 train_acc=0.6227
epoch=064 train_loss=0.97873 train_acc=0.6231
epoch=065 train_loss=0.97442 train_acc=0.6266
epoch=066 train_loss=0.96830 train_acc=0.6277
epoch=067 train_loss=0.96357 train_acc=0.6295
epoch=068 train_loss=0.95649 train_acc=0.6318
epoch=069 train_loss=0.95266 train_acc=0.6328
epoch=070 train_loss=0.94744 train_acc=0.6361
epoch=071 train_loss=0.94635 train_acc=0.6367
epoch=072 train_loss=0.94178 train_acc=0.6381
epoch=073 train_loss=0.93642 train_acc=0.6399
epoch=074 train_loss=0.93511 train_acc=0.6420
epoch=075 train_loss=0.92818 train_acc=0.6430
epoch=076 train_loss=0.92267 train_acc=0.6459
epoch=077 train_loss=0.91899 train_acc=0.6472
epoch=078 train_loss=0.91903 train_acc=0.6487
epoch=079 train_loss=0.91100 train_acc=0.6500
epoch=080 train_loss=0.90761 train_acc=0.6516
epoch=081 train_loss=0.89964 train_acc=0.6536
epoch=082 train_loss=0.89789 train_acc=0.6549
epoch=083 train_loss=0.89861 train_acc=0.6550
epoch=084 train_loss=0.89611 train_acc=0.6571
epoch=085 train_loss=0.88642 train_acc=0.6605
epoch=086 train_loss=0.88564 train_acc=0.6602
epoch=087 train_loss=0.87937 train_acc=0.6625
epoch=088 train_loss=0.87819 train_acc=0.6629
epoch=089 train_loss=0.87882 train_acc=0.6639
epoch=090 train_loss=0.87177 train_acc=0.6662
epoch=091 train_loss=0.86854 train_acc=0.6668
epoch=092 train_loss=0.86200 train_acc=0.6691
epoch=093 train_loss=0.86493 train_acc=0.6681
epoch=094 train_loss=0.85679 train_acc=0.6711
epoch=095 train_loss=0.85156 train_acc=0.6742
epoch=096 train_loss=0.84777 train_acc=0.6754
epoch=097 train_loss=0.84474 train_acc=0.6761
epoch=098 train_loss=0.84710 train_acc=0.6756
epoch=099 train_loss=0.84073 train_acc=0.6774
epoch=100 train_loss=0.83795 train_acc=0.6776
