device=cuda split_protocol=per_modulation_snr_800_train_200_test epochs=100 learning_rate=0.001
epoch=001 train_loss=2.16833 train_acc=0.1859
epoch=002 train_loss=1.89165 train_acc=0.2926
epoch=003 train_loss=1.72414 train_acc=0.3562
epoch=004 train_loss=1.62456 train_acc=0.3872
epoch=005 train_loss=1.54672 train_acc=0.4135
epoch=006 train_loss=1.49210 train_acc=0.4308
epoch=007 train_loss=1.45733 train_acc=0.4406
epoch=008 train_loss=1.44115 train_acc=0.4463
epoch=009 train_loss=1.42367 train_acc=0.4516
epoch=010 train_loss=1.41746 train_acc=0.4537
epoch=011 train_loss=1.40784 train_acc=0.4563
epoch=012 train_loss=1.39250 train_acc=0.4610
epoch=013 train_loss=1.38560 train_acc=0.4635
epoch=014 train_loss=1.37776 train_acc=0.4671
epoch=015 train_loss=1.37279 train_acc=0.4682
epoch=016 train_loss=1.36765 train_acc=0.4714
epoch=017 train_loss=1.36601 train_acc=0.4715
epoch=018 train_loss=1.36012 train_acc=0.4732
epoch=019 train_loss=1.35638 train_acc=0.4739
epoch=020 train_loss=1.35309 train_acc=0.4773
epoch=021 train_loss=1.35076 train_acc=0.4770
epoch=022 train_loss=1.34744 train_acc=0.4784
epoch=023 train_loss=1.34118 train_acc=0.4807
epoch=024 train_loss=1.33989 train_acc=0.4799
epoch=025 train_loss=1.33256 train_acc=0.4824
epoch=026 train_loss=1.33223 train_acc=0.4836
epoch=027 train_loss=1.32936 train_acc=0.4851
epoch=028 train_loss=1.32719 train_acc=0.4844
epoch=029 train_loss=1.32330 train_acc=0.4863
epoch=030 train_loss=1.32378 train_acc=0.4855
epoch=031 train_loss=1.31826 train_acc=0.4896
epoch=032 train_loss=1.31773 train_acc=0.4882
epoch=033 train_loss=1.31725 train_acc=0.4895
epoch=034 train_loss=1.31323 train_acc=0.4918
epoch=035 train_loss=1.30791 train_acc=0.4920
epoch=036 train_loss=1.30578 train_acc=0.4925
epoch=037 train_loss=1.30582 train_acc=0.4931
epoch=038 train_loss=1.30245 train_acc=0.4945
epoch=039 train_loss=1.29857 train_acc=0.4949
epoch=040 train_loss=1.29840 train_acc=0.4951
epoch=041 train_loss=1.29464 train_acc=0.4973
epoch=042 train_loss=1.29318 train_acc=0.4969
epoch=043 train_loss=1.29138 train_acc=0.4978
epoch=044 train_loss=1.28736 train_acc=0.4989
epoch=045 train_loss=1.28382 train_acc=0.4997
epoch=046 train_loss=1.28338 train_acc=0.5013
epoch=047 train_loss=1.27693 train_acc=0.5017
epoch=048 train_loss=1.27800 train_acc=0.5031
epoch=049 train_loss=1.27318 train_acc=0.5040
epoch=050 train_loss=1.27219 train_acc=0.5035
epoch=051 train_loss=1.27217 train_acc=0.5051
epoch=052 train_loss=1.26895 train_acc=0.5061
epoch=053 train_loss=1.26257 train_acc=0.5074
epoch=054 train_loss=1.26161 train_acc=0.5082
epoch=055 train_loss=1.26044 train_acc=0.5092
epoch=056 train_loss=1.25842 train_acc=0.5094
epoch=057 train_loss=1.25546 train_acc=0.5091
epoch=058 train_loss=1.25593 train_acc=0.5108
epoch=059 train_loss=1.25183 train_acc=0.5116
epoch=060 train_loss=1.24832 train_acc=0.5118
epoch=061 train_loss=1.24492 train_acc=0.5134
epoch=062 train_loss=1.24450 train_acc=0.5147
epoch=063 train_loss=1.24474 train_acc=0.5144
epoch=064 train_loss=1.24022 train_acc=0.5150
epoch=065 train_loss=1.23959 train_acc=0.5169
epoch=066 train_loss=1.23662 train_acc=0.5171
epoch=067 train_loss=1.23858 train_acc=0.5168
epoch=068 train_loss=1.23081 train_acc=0.5189
epoch=069 train_loss=1.23137 train_acc=0.5188
epoch=070 train_loss=1.23275 train_acc=0.5171
epoch=071 train_loss=1.22765 train_acc=0.5206
epoch=072 train_loss=1.22765 train_acc=0.5196
epoch=073 train_loss=1.22842 train_acc=0.5195
epoch=074 train_loss=1.22442 train_acc=0.5218
epoch=075 train_loss=1.21865 train_acc=0.5234
epoch=076 train_loss=1.22325 train_acc=0.5234
epoch=077 train_loss=1.21716 train_acc=0.5248
epoch=078 train_loss=1.21723 train_acc=0.5253
epoch=079 train_loss=1.21580 train_acc=0.5244
epoch=080 train_loss=1.21429 train_acc=0.5250
epoch=081 train_loss=1.21067 train_acc=0.5263
epoch=082 train_loss=1.21170 train_acc=0.5278
epoch=083 train_loss=1.20874 train_acc=0.5281
epoch=084 train_loss=1.20483 train_acc=0.5304
epoch=085 train_loss=1.20442 train_acc=0.5311
epoch=086 train_loss=1.20014 train_acc=0.5316
epoch=087 train_loss=1.19901 train_acc=0.5335
epoch=088 train_loss=1.19463 train_acc=0.5347
epoch=089 train_loss=1.19366 train_acc=0.5364
epoch=090 train_loss=1.19222 train_acc=0.5365
epoch=091 train_loss=1.19007 train_acc=0.5382
epoch=092 train_loss=1.18716 train_acc=0.5397
epoch=093 train_loss=1.18654 train_acc=0.5392
epoch=094 train_loss=1.18569 train_acc=0.5396
epoch=095 train_loss=1.18427 train_acc=0.5399
epoch=096 train_loss=1.18323 train_acc=0.5405
epoch=097 train_loss=1.18333 train_acc=0.5404
epoch=098 train_loss=1.17664 train_acc=0.5428
epoch=099 train_loss=1.18080 train_acc=0.5419
epoch=100 train_loss=1.17448 train_acc=0.5431
